Name,Year,Votes,NumBallots,p,YoB,PosSummary,position,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,all.star,drugs,rookie,gold.gloves,mvp,cy.young
Jim Rice,2009,412,539,0.764378479,15,*7*D9/8,LF,146,43,16,44.3,34.6,39.5,50.7,2089,8225,1249,2452,382,1451,58,670,0.298,0.352,0.502,0.854,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,1,0
Andre Dawson,2009,361,539,0.669758813,8,*9*8D7,RF,118,44,21,60.6,41,50.8,54.8,2627,9927,1373,2774,438,1591,314,589,0.279,0.323,0.482,0.806,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,8,1,0
Bert Blyleven,2009,338,539,0.627087199,12,*1,P,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,2,0,0,0,0,0
Lee Smith,2009,240,539,0.445269017,7,*1,P,135,13,18,27.6,19.7,23.7,32.3,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,7,0,0,0,0,0
Jack Morris,2009,237,539,0.439703154,10,*1/D,P,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,5,0,0,0,0,0
Tommy John,2009,171,539,0.317254174,15,*1,P,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,4,0,0,0,0,0
Tim Raines,2009,122,539,0.226345083,2,*78D4/9,LF,90,47,23,66.2,41.1,53.7,50.7,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Mark McGwire,2009,118,539,0.218923933,3,*3D/59,1B,170,42,16,58.7,40.1,49.4,51.5,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,1,1,0,0
Alan Trammell,2009,94,539,0.174397032,8,*6D5/478,SS,118,40,20,67.1,43.3,55.2,52.1,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,4,0,0
Dave Parker,2009,81,539,0.150278293,13,*9*D78/34,RF,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,1,0
