Name,Year,Votes,NumBallots,p,YoB,PosSummary,position,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,all.star,drugs,rookie,gold.gloves,mvp,cy.young
Bruce Sutter,2001,245,515,0.475728155,8,*1,P,91,17,12,23.1,23.7,23.4,32.3,661,102,6,9,0,6,1,7,0.088,0.153,0.088,0.241,-33,68,71,2.83,136,1.14,661,0,300,1042,879,77,309,861,6,0,0,0,0,1
Rich Gossage,2001,228,515,0.442718447,2,*1/D,P,126,19,22,39.4,31,35.2,32.3,1003,85,1,9,0,2,0,4,0.106,0.146,0.118,0.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,9,0,0,0,0,0
Steve Garvey,2001,176,515,0.341747573,9,*35/749,1B,130,32,19,34.4,27.2,30.8,51.5,2332,8835,1143,2599,272,1308,83,479,0.294,0.329,0.446,0.775,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,4,1,0
Tommy John,2001,146,515,0.283495146,7,*1,P,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,4,0,0,0,0,0
Don Mattingly,2001,145,515,0.281553398,1,*3D97/548,1B,134,34,14,39.8,34.4,37.1,51.5,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,9,1,0
Jim Kaat,2001,135,515,0.262135922,13,*1/D,P,130,44,25,46.3,36.3,41.3,57.9,1004,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37,283,237,3.45,108,1.259,898,625,18,4530.1,4620,395,1083,2461,3,0,0,16,0,0
Bert Blyleven,2001,121,515,0.234951456,4,*1,P,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,2,0,0,0,0,0
Jack Morris,2001,101,515,0.196116505,2,*1/D,P,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,5,0,0,0,0,0
Dale Murphy,2001,93,515,0.180582524,3,*8*9372,CF,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,2,0
Dave Parker,2001,84,515,0.163106796,5,*9*D78/34,RF,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,1,0
Dave Concepcion,2001,74,515,0.14368932,8,*6453/81,SS,106,29,19,36.5,28.4,32.4,52.1,2488,8723,993,2326,101,950,321,736,0.267,0.322,0.357,0.679,88,0,0,0,NA,1.5,1,0,0,1.1,2,0,0,1,9,0,0,5,0,0
Luis Tiant,2001,63,515,0.122330097,14,*1,P,97,41,19,62.3,42.1,52.2,57.9,573,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,3,0,0,0,0,0
Keith Hernandez,2001,41,515,0.07961165,6,*3/79,1B,86,32,17,57.1,38.2,47.6,51.5,2088,7370,1124,2182,162,1071,98,1070,0.296,0.384,0.436,0.821,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,11,1,0
Dave Stewart,2001,38,515,0.073786408,1,*1,P,76,21,16,23.2,21,22.1,57.9,523,51,5,10,0,4,0,3,0.196,0.241,0.255,0.496,40,168,129,3.95,100,1.344,523,348,19,2629.2,2499,264,1034,1741,1,0,0,0,0,0
Ron Guidry,2001,27,515,0.052427184,8,*1/8,P,106,38,14,45.4,36.2,40.8,57.9,379,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,170,91,3.29,119,1.184,368,323,4,2392,2198,226,633,1778,4,0,0,5,0,1
Lou Whitaker,2001,15,515,0.029126214,1,*4D,2B,92,43,19,71.4,36.5,54,54.4,2390,8570,1386,2369,244,1084,143,1197,0.276,0.363,0.426,0.789,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,3,0,0
Kirk Gibson,2001,13,515,0.025242718,1,*7*9*D*8,LF,16,22,17,35.5,28.4,31.9,55.4,1635,5798,985,1553,255,870,284,718,0.268,0.352,0.463,0.815,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
Lance Parrish,2001,9,515,0.017475728,1,*2D3/97,C,107,32,19,36,26.8,31.4,40.7,1988,7067,856,1782,324,1070,28,612,0.252,0.313,0.44,0.753,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,3,0,0
Tom Henke,2001,6,515,0.011650485,1,*1,P,75,19,14,22.1,16.9,19.5,32.3,642,1,0,0,0,0,0,0,0,0,0,0,-100,41,42,2.67,157,1.092,642,0,311,789.2,607,64,255,861,2,0,0,0,0,0
Dave Righetti,2001,2,515,0.003883495,1,*1,P,60,7,16,20.1,20.2,20.2,32.3,718,11,0,2,0,1,0,0,0.182,0.182,0.182,0.364,5,82,79,3.46,114,1.338,718,89,252,1403.2,1287,95,591,1112,2,0,1,0,0,0
Ron Darling,2001,1,515,0.001941748,1,*1/D,P,26,15,13,16.8,16.2,16.5,57.9,402,526,39,76,2,21,1,15,0.144,0.169,0.203,0.373,5,136,116,3.87,95,1.335,382,364,0,2360.1,2244,239,906,1590,1,0,0,1,0,0
Jose Rijo,2001,1,515,0.001941748,1,*1,P,28,20,14,34.4,35.9,35.2,57.9,377,445,25,85,2,29,2,8,0.191,0.205,0.234,0.439,20,116,91,3.24,121,1.262,376,269,3,1880,1710,147,663,1606,1,0,0,0,0,0
Jim Deshaies,2001,1,515,0.001941748,1,1,P,6,7,12,10.2,13.7,11.9,57.9,258,373,13,33,0,12,0,23,0.088,0.141,0.088,0.23,-33,84,95,4.14,91,1.317,257,253,0,1525,1434,179,575,951,0,0,0,0,0,0
Steve Bedrosian,2001,1,515,0.001941748,1,*1,P,37,10,14,13.2,13.1,13.1,32.3,732,153,3,15,0,2,0,3,0.098,0.115,0.098,0.213,-41,76,79,3.38,115,1.296,732,46,184,1191,1026,114,518,921,1,0,0,0,0,1
Tom Browning,2001,1,515,0.001941748,1,*1,P,27,16,12,18.3,17.1,17.7,57.9,324,621,42,95,2,32,5,25,0.153,0.185,0.188,0.374,3,123,90,3.94,97,1.271,302,300,0,1921,1931,236,511,1000,1,0,0,0,0,0
John Kruk,2001,1,515,0.001941748,1,*3*79D/8,1B,32,24,10,23.1,21.3,22.2,51.5,1200,3897,582,1170,100,592,58,649,0.3,0.397,0.446,0.842,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0
Howard Johnson,2001,0,515,0,1,*56789/D43,3B,41,21,14,20.1,21.5,20.8,53.4,1531,4940,760,1229,228,760,231,692,0.249,0.34,0.446,0.786,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0
Andy Van Slyke,2001,0,515,0,1,*8*9735,CF,36,19,13,38.6,31.2,34.9,54.8,1658,5711,835,1562,164,792,245,667,0.274,0.349,0.443,0.792,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,4,0,0
Carlton Fisk,2000,397,499,0.795591182,2,*2D7/35,C,120,49,24,63.7,35.6,49.6,40.7,2499,8756,1276,2356,376,1330,128,849,0.269,0.341,0.457,0.797,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,1,1,0,0
Tony Perez,2000,385,499,0.771543086,9,*3*5D/4,1B,81,41,23,50.1,35,42.6,51.5,2777,9778,1272,2732,379,1652,49,925,0.279,0.341,0.463,0.804,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Jim Rice,2000,257,499,0.51503006,6,*7*D9/8,LF,146,43,16,44.3,34.6,39.5,50.7,2089,8225,1249,2452,382,1451,58,670,0.298,0.352,0.502,0.854,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,1,0
Gary Carter,2000,248,499,0.496993988,3,*293/75,C,135,41,19,66.4,46.5,56.4,40.7,2296,7971,1025,2092,324,1225,39,848,0.262,0.335,0.439,0.773,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,3,0,0
Bruce Sutter,2000,192,499,0.384769539,7,*1,P,91,17,12,23.1,23.7,23.4,32.3,661,102,6,9,0,6,1,7,0.088,0.153,0.088,0.241,-33,68,71,2.83,136,1.14,661,0,300,1042,879,77,309,861,6,0,0,0,0,1
Rich Gossage,2000,166,499,0.332665331,1,*1/D,P,126,19,22,39.4,31,35.2,32.3,1003,85,1,9,0,2,0,4,0.106,0.146,0.118,0.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,9,0,0,0,0,0
Steve Garvey,2000,160,499,0.320641283,8,*35/749,1B,130,32,19,34.4,27.2,30.8,51.5,2332,8835,1143,2599,272,1308,83,479,0.294,0.329,0.446,0.775,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,4,1,0
Tommy John,2000,135,499,0.270541082,6,*1,P,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,4,0,0,0,0,0
Jim Kaat,2000,125,499,0.250501002,12,*1/D,P,130,44,25,46.3,36.3,41.3,57.9,1004,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37,283,237,3.45,108,1.259,898,625,18,4530.1,4620,395,1083,2461,3,0,0,16,0,0
Dale Murphy,2000,116,499,0.23246493,2,*8*9372,CF,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,2,0
Jack Morris,2000,111,499,0.22244489,1,*1/D,P,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,5,0,0,0,0,0
Dave Parker,2000,104,499,0.208416834,4,*9*D78/34,RF,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,1,0
Bert Blyleven,2000,87,499,0.174348697,3,*1,P,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,2,0,0,0,0,0
Luis Tiant,2000,86,499,0.172344689,13,*1,P,97,41,19,62.3,42.1,52.2,57.9,573,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,3,0,0,0,0,0
Dave Concepcion,2000,67,499,0.134268537,7,*6453/81,SS,106,29,19,36.5,28.4,32.4,52.1,2488,8723,993,2326,101,950,321,736,0.267,0.322,0.357,0.679,88,0,0,0,NA,1.5,1,0,0,1.1,2,0,0,1,9,0,0,5,0,0
Keith Hernandez,2000,52,499,0.104208417,5,*3/79,1B,86,32,17,57.1,38.2,47.6,51.5,2088,7370,1124,2182,162,1071,98,1070,0.296,0.384,0.436,0.821,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,11,1,0
Ron Guidry,2000,44,499,0.088176353,7,*1/8,P,106,38,14,45.4,36.2,40.8,57.9,379,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,170,91,3.29,119,1.184,368,323,4,2392,2198,226,633,1778,4,0,0,5,0,1
Jeff Reardon,2000,24,499,0.048096192,1,*1,P,106,13,16,17.6,12.9,15.2,32.3,880,57,0,5,0,2,0,1,0.088,0.103,0.105,0.209,-41,73,77,3.16,122,1.199,880,0,367,1132.1,1000,109,358,877,4,0,0,0,0,0
Bob Boone,2000,21,499,0.042084168,5,*2/35D7,C,102,25,19,24.4,19.1,21.8,40.7,2264,7245,679,1838,105,826,38,663,0.254,0.315,0.346,0.661,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,7,0,0
Willie Wilson,2000,10,499,0.02004008,1,*8*79/D,CF,61,23,19,43.5,32.9,38.2,54.8,2154,7731,1169,2207,41,585,668,425,0.285,0.326,0.376,0.702,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0
Rick Sutcliffe,2000,9,499,0.018036072,1,*1,P,49,19,18,31.2,29.7,30.5,57.9,466,562,42,102,4,55,4,34,0.181,0.229,0.246,0.474,30,171,139,4.08,97,1.387,457,392,6,2697.2,2662,236,1081,1679,3,0,1,0,0,1
Kent Hrbek,2000,5,499,0.01002004,1,*3D/5,1B,18,26,14,35.7,25.9,30.8,51.5,1747,6192,903,1749,293,1086,37,838,0.282,0.367,0.481,0.848,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
Charlie Hough,2000,4,499,0.008016032,1,*1,P,58,27,25,34.2,26.4,30.3,57.9,858,226,7,33,1,13,0,5,0.146,0.168,0.177,0.345,-6,216,216,3.75,106,1.302,858,440,61,3801.1,3283,383,1665,2362,1,0,0,0,0,0
Dave Henderson,2000,2,499,0.004008016,1,*89D7/4,CF,20,12,14,25.2,25.5,25.3,54.8,1538,5130,710,1324,197,708,50,465,0.258,0.32,0.436,0.756,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
Steve Sax,2000,2,499,0.004008016,1,*4/7D59,2B,58,24,14,22.9,20.4,21.6,54.4,1769,6940,913,1949,54,550,444,556,0.281,0.335,0.358,0.692,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,0,0,0
Bob Welch,2000,1,499,0.002004008,1,*1/79,P,67,37,17,40.4,28.7,34.5,57.9,520,582,26,88,2,30,0,22,0.151,0.186,0.177,0.363,2,211,146,3.47,106,1.27,506,462,8,3092,2894,267,1034,1969,2,0,0,0,0,1
Bill Gullickson,2000,1,499,0.002004008,1,*1,P,18,20,14,20.4,16.1,18.2,57.9,398,576,30,81,3,27,0,20,0.141,0.169,0.184,0.353,-2,162,136,3.93,98,1.282,398,390,0,2560,2659,282,622,1279,0,0,0,0,0,0
Lonnie Smith,2000,1,499,0.002004008,1,*78D9,LF,28,20,17,36.3,28.3,32.3,50.7,1613,5170,909,1488,98,533,370,623,0.288,0.371,0.42,0.791,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
Bruce Hurst,2000,1,499,0.002004008,1,*1,P,30,19,15,31.7,28.7,30.2,57.9,380,274,11,31,0,8,0,20,0.113,0.173,0.131,0.305,-13,145,113,3.92,104,1.325,379,359,0,2417.1,2463,258,740,1689,1,0,0,0,0,0
Hubie Brooks,2000,0,499,0,1,*9*5*6D/347,RF,10,12,15,10,15.7,12.9,52.1,1645,5974,656,1608,149,824,64,387,0.269,0.315,0.403,0.717,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0
Nolan Ryan,1999,491,497,0.987927565,1,*1,P,256,55,27,75.2,41,58.1,57.9,807,852,40,94,2,36,3,38,0.11,0.148,0.134,0.282,-18,324,292,3.19,112,1.247,807,773,3,5386,3923,321,2795,5714,8,0,0,0,0,0
George Brett,1999,488,497,0.981891348,1,*5*D*3/796,3B,210,61,21,84,51.7,67.9,53.4,2707,10349,1583,3154,317,1596,201,1096,0.305,0.369,0.487,0.857,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,1,1,0
Robin Yount,1999,385,497,0.774647887,1,*6*8D7/3,SS,132,52,20,72.4,45.8,59.1,52.1,2856,11008,1632,3142,251,1406,271,966,0.285,0.342,0.43,0.772,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,2,0
Carlton Fisk,1999,330,497,0.663983903,1,*2D7/35,C,120,49,24,63.7,35.6,49.6,40.7,2499,8756,1276,2356,376,1330,128,849,0.269,0.341,0.457,0.797,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,1,1,0,0
Tony Perez,1999,302,497,0.607645875,8,*3*5D/4,1B,81,41,23,50.1,35,42.6,51.5,2777,9778,1272,2732,379,1652,49,925,0.279,0.341,0.463,0.804,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Gary Carter,1999,168,497,0.338028169,2,*293/75,C,135,41,19,66.4,46.5,56.4,40.7,2296,7971,1025,2092,324,1225,39,848,0.262,0.335,0.439,0.773,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,3,0,0
Steve Garvey,1999,150,497,0.301810865,7,*35/749,1B,130,32,19,34.4,27.2,30.8,51.5,2332,8835,1143,2599,272,1308,83,479,0.294,0.329,0.446,0.775,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,4,1,0
Jim Rice,1999,146,497,0.293762575,5,*7*D9/8,LF,146,43,16,44.3,34.6,39.5,50.7,2089,8225,1249,2452,382,1451,58,670,0.298,0.352,0.502,0.854,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,1,0
Bruce Sutter,1999,121,497,0.243460765,6,*1,P,91,17,12,23.1,23.7,23.4,32.3,661,102,6,9,0,6,1,7,0.088,0.153,0.088,0.241,-33,68,71,2.83,136,1.14,661,0,300,1042,879,77,309,861,6,0,0,0,0,1
Jim Kaat,1999,100,497,0.201207243,11,*1/D,P,130,44,25,46.3,36.3,41.3,57.9,1004,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37,283,237,3.45,108,1.259,898,625,18,4530.1,4620,395,1083,2461,3,0,0,16,0,0
Dale Murphy,1999,96,497,0.193158954,1,*8*9372,CF,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,2,0
Tommy John,1999,93,497,0.187122736,5,*1,P,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,4,0,0,0,0,0
Dave Parker,1999,80,497,0.160965795,3,*9*D78/34,RF,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,1,0
Minnie Minoso,1999,73,497,0.146881288,15,*7598/3D6,LF,87,35,17,47.5,38,42.7,50.7,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,0,0
Bert Blyleven,1999,70,497,0.14084507,2,*1,P,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,2,0,0,0,0,0
Dave Concepcion,1999,59,497,0.118712274,6,*6453/81,SS,106,29,19,36.5,28.4,32.4,52.1,2488,8723,993,2326,101,950,321,736,0.267,0.322,0.357,0.679,88,0,0,0,NA,1.5,1,0,0,1.1,2,0,0,1,9,0,0,5,0,0
Luis Tiant,1999,53,497,0.106639839,12,*1,P,97,41,19,62.3,42.1,52.2,57.9,573,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,3,0,0,0,0,0
Keith Hernandez,1999,34,497,0.068410463,4,*3/79,1B,86,32,17,57.1,38.2,47.6,51.5,2088,7370,1124,2182,162,1071,98,1070,0.296,0.384,0.436,0.821,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,11,1,0
Ron Guidry,1999,31,497,0.062374245,6,*1/8,P,106,38,14,45.4,36.2,40.8,57.9,379,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,170,91,3.29,119,1.184,368,323,4,2392,2198,226,633,1778,4,0,0,5,0,1
Bob Boone,1999,27,497,0.054325956,4,*2/35D7,C,102,25,19,24.4,19.1,21.8,40.7,2264,7245,679,1838,105,826,38,663,0.254,0.315,0.346,0.661,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,7,0,0
Mickey Lolich,1999,26,497,0.052313883,15,*1,P,98,37,16,44,35.7,39.9,57.9,592,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2,217,191,3.44,104,1.227,586,496,11,3638.1,3366,347,1099,2832,3,0,0,0,0,0
Dwight Evans,1999,18,497,0.036217304,3,*9D378,RF,70,44,20,62.8,35.7,49.2,55.4,2606,8996,1470,2446,385,1384,78,1391,0.272,0.37,0.47,0.84,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,8,0,0
George Bell,1999,6,497,0.012072435,1,*7*D9/54,LF,54,19,12,17,19.4,18.2,50.7,1587,6123,814,1702,265,1002,67,331,0.278,0.316,0.469,0.785,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,1,0
John Candelaria,1999,1,497,0.002012072,1,*1,P,40,33,19,39.4,29.4,34.4,57.9,603,596,39,104,1,48,0,44,0.174,0.233,0.223,0.456,26,177,122,3.33,114,1.184,600,356,29,2525.2,2399,245,592,1673,1,0,0,0,0,0
Mike Witt,1999,0,497,0,1,*1,P,20,9,12,19.2,19.6,19.4,57.9,341,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,117,116,3.83,105,1.318,341,299,6,2108.1,2066,183,713,1373,2,0,0,0,0,0
Mike Boddicker,1999,0,497,0,1,*1/D,P,27,13,14,29.1,25.1,27.1,57.9,346,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,134,116,3.8,108,1.32,342,309,3,2123.2,2082,188,721,1330,1,0,0,1,0,0
Charlie Leibrandt,1999,0,497,0,1,*1,P,18,16,14,30.9,28.4,29.7,57.9,394,267,7,32,0,14,0,13,0.12,0.16,0.146,0.306,-15,140,119,3.71,108,1.32,394,346,2,2308,2390,172,656,1121,0,0,0,0,0,0
Frank Tanana,1999,0,497,0,1,*1/D,P,55,35,21,52.7,36,44.3,57.9,639,59,3,9,0,5,0,2,0.153,0.18,0.203,0.384,4,240,236,3.66,106,1.27,638,616,1,4188.1,4063,448,1255,2773,3,0,0,0,0,0
Don Sutton,1998,386,473,0.816067653,5,*1,P,149,58,23,61.3,32,46.7,57.9,785,1354,64,195,0,64,1,60,0.144,0.183,0.157,0.34,-2,324,256,3.26,108,1.142,774,756,5,5282.1,4692,472,1343,3574,4,0,0,0,0,0
Tony Perez,1998,321,473,0.678646934,7,*3*5D/4,1B,81,41,23,50.1,35,42.6,51.5,2777,9778,1272,2732,379,1652,49,925,0.279,0.341,0.463,0.804,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Ron Santo,1998,204,473,0.431289641,15,*5D4/673,3B,88,41,15,66.6,52.1,59.4,53.4,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,5,0,0
Jim Rice,1998,203,473,0.429175476,4,*7*D9/8,LF,146,43,16,44.3,34.6,39.5,50.7,2089,8225,1249,2452,382,1451,58,670,0.298,0.352,0.502,0.854,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,1,0
Gary Carter,1998,200,473,0.422832981,1,*293/75,C,135,41,19,66.4,46.5,56.4,40.7,2296,7971,1025,2092,324,1225,39,848,0.262,0.335,0.439,0.773,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,3,0,0
Steve Garvey,1998,195,473,0.412262156,6,*35/749,1B,130,32,19,34.4,27.2,30.8,51.5,2332,8835,1143,2599,272,1308,83,479,0.294,0.329,0.446,0.775,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,4,1,0
Bruce Sutter,1998,147,473,0.310782241,5,*1,P,91,17,12,23.1,23.7,23.4,32.3,661,102,6,9,0,6,1,7,0.088,0.153,0.088,0.241,-33,68,71,2.83,136,1.14,661,0,300,1042,879,77,309,861,6,0,0,0,0,1
Tommy John,1998,129,473,0.272727273,4,*1,P,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,4,0,0,0,0,0
Jim Kaat,1998,129,473,0.272727273,10,*1/D,P,130,44,25,46.3,36.3,41.3,57.9,1004,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37,283,237,3.45,108,1.259,898,625,18,4530.1,4620,395,1083,2461,3,0,0,16,0,0
Dave Parker,1998,116,473,0.245243129,2,*9*D78/34,RF,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,1,0
Bert Blyleven,1998,83,473,0.175475687,1,*1,P,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,2,0,0,0,0,0
Dave Concepcion,1998,80,473,0.169133192,5,*6453/81,SS,106,29,19,36.5,28.4,32.4,52.1,2488,8723,993,2326,101,950,321,736,0.267,0.322,0.357,0.679,88,0,0,0,NA,1.5,1,0,0,1.1,2,0,0,1,9,0,0,5,0,0
Minnie Minoso,1998,76,473,0.160676533,14,*7598/3D6,LF,87,35,17,47.5,38,42.7,50.7,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,0,0
Luis Tiant,1998,62,473,0.131078224,11,*1,P,97,41,19,62.3,42.1,52.2,57.9,573,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,3,0,0,0,0,0
Keith Hernandez,1998,51,473,0.10782241,3,*3/79,1B,86,32,17,57.1,38.2,47.6,51.5,2088,7370,1124,2182,162,1071,98,1070,0.296,0.384,0.436,0.821,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,11,1,0
